name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
Norman Y. Mineta San Jose International Airport,KSJC,US,62.0,3353.0,12L/30R,CON,,37.362452,-121.929188,,AIP
Edinburgh Airport,EGPH,GB,135.0,2558.0,06/24,ASP,,55.950145,-3.372288,,AIP
İstanbul Atatürk Airport,LTBA,TR,163.0,3000.0,17L/35R,CON,,40.971913,28.823714,,AIP
San Francisco Bay Oakland International Airport,KOAK,US,9.0,3206.0,12/30,ASP,,37.720085,-122.221184,,AIP
San Antonio International Airport,KSAT,US,809.0,2592.0,04/22,CON,,29.533701,-98.469803,,AIP
John Wayne Orange County International Airport,KSNA,US,56.0,1737.0,02L/20R,ASP,,33.675063,-117.869281,,AIP
Beijing Capital International Airport,ZBAA,CN,116.0,3800.0,01/19,CON,,40.077349,116.596702,,AIP
Kansas City International Airport,KMCI,US,1026.0,3292.0,01L/19R,CON,,39.301699,-94.713893,,AIP
Geneva International Airport,LSGG,CH,1411.0,3900.0,04/22,CON,,46.238098,6.10895,,AIP
Memphis International Airport,KMEM,US,341.0,3389.0,18C/36C,CON,,35.043845,-89.97634,,AIP
Paris-Orly Airport,LFPO,FR,291.0,3650.0,06/24,ASP,,48.729499,2.358963,,AIP
Kuala Lumpur International Airport,WMKK,MY,69.0,4124.0,14L/32R,PEM,,2.74558,101.709999,,AIP
Cleveland Hopkins International Airport,KCLE,US,791.0,3034.0,6R/24L,CON,,41.411701,-81.8498,,AIP
Dallas Love Field,KDAL,US,487.0,2682.0,13R/31L,CON,,32.844776,-96.847653,,AIP
William P. Hobby Airport,KHOU,US,46.0,2317.0,04/22,CON,,29.645336,-95.276812,,AIP
Indianapolis International Airport,KIND,US,797.0,3414.0,05L/23R,CON,,39.7173,-86.294403,,AIP
Düsseldorf Airport,EDDL,DE,147.0,3000.0,05R/23L,CON,,51.289501,6.76678,,AIP
Calgary International Airport,CYYC,CA,3557.0,4267.0,17L/35R,CONC,,51.118822,-114.009933,,AIP
London Luton Airport,EGGW,GB,526.0,2162.0,07/25,ASP,,51.874699,-0.368333,,AIP
Venice Marco Polo Airport,LIPZ,IT,7.0,3300.0,04R/22L,ASP,,45.505299,12.3519,,AIP
Warsaw Chopin Airport,EPWA,PL,362.0,3690.0,15/33,ASPH,,52.165699,20.9671,,AIP
Palma de Mallorca Airport,LEPA,ES,27.0,3270.0,06L/24R,ASP,,39.551701,2.73881,,AIP
Incheon International Airport,RKSI,KR,23.0,4000.0,16L/34R,ASPH,,37.469101,126.450996,,AIP
Málaga-Costa del Sol Airport,LEMG,ES,53.0,3200.0,13/31,ASP,,36.6749,-4.49911,,AIP
Mexico City Benito Juárez International Airport,MMMX,MX,7316.0,3952.0,05L/23R,ASP,,19.435822,-99.07033,,AIP
John Glenn Columbus International Airport,KCMH,US,815.0,3083.0,10R/28L,ASP,,39.998001,-82.891899,,AIP
Nice-Côte d'Azur Airport,LFMN,FR,12.0,2963.0,04R/22L,ASP,,43.658401,7.21587,,AIP
Albuquerque International Sunport,KABQ,US,5355.0,4204.0,08/26,CONC-G,,35.039976,-106.608925,,AIP
Indira Gandhi International Airport,VIDP,IN,777.0,4430.0,11R/29L,ASPH,,28.55563,77.09519,,AIP
Shanghai Pudong International Airport,ZSPD,CN,13.0,4000.0,17L/35R,CON,,31.1434,121.805,,AIP
Melbourne Airport,YMML,AU,434.0,3657.0,16/34,ASP,,-37.670732,144.837898,,AIP
General Mitchell International Airport,KMKE,US,723.0,3045.0,01L/19R,PEM,,42.947201,-87.896599,,AIP
Tokyo Haneda International Airport,RJTT,JP,35.0,3360.0,16L/34R,ASP,,35.549678,139.786958,,AIP
